date,Salesforce,Docusign,Oracle,Shopify,Workday,Weekday
6/15/2024,19,21,42,51,35,7
6/16/2024,14,14,35,44,31,1
6/17/2024,69,78,75,77,85,2
6/18/2024,69,81,73,79,81,3
6/19/2024,50,61,61,75,66,4
6/20/2024,70,78,74,75,84,5
6/21/2024,59,80,70,69,75,6
6/22/2024,18,21,34,48,39,7
6/23/2024,13,17,32,46,34,1
6/24/2024,74,83,77,76,89,2
6/25/2024,71,92,83,75,80,3
6/26/2024,71,83,75,75,83,4
6/27/2024,68,82,78,73,81,5
6/28/2024,63,78,70,65,82,6
6/29/2024,19,22,41,50,39,7
6/30/2024,14,19,37,46,34,1
7/1/2024,62,84,70,70,84,2
7/2/2024,67,80,70,74,80,3
7/3/2024,58,77,68,71,77,4
7/4/2024,18,21,35,50,41,5
7/5/2024,32,46,50,54,55,6
7/6/2024,17,18,28,46,32,7
7/7/2024,14,17,30,45,32,1
7/8/2024,61,78,68,74,85,2
7/9/2024,71,83,78,74,84,3
7/10/2024,64,78,95,75,86,4
7/11/2024,68,81,80,75,78,5
7/12/2024,58,72,73,71,73,6
7/13/2024,19,23,37,47,38,7
7/14/2024,14,17,34,45,32,1
7/15/2024,63,73,68,71,77,2
7/16/2024,71,86,75,74,81,3
7/17/2024,71,87,79,79,82,4
7/18/2024,66,77,73,75,81,5
7/19/2024,62,74,68,67,76,6
7/20/2024,23,21,36,50,40,7
7/21/2024,19,16,33,49,33,1
7/22/2024,68,75,67,78,79,2
7/23/2024,75,86,61,76,83,3
7/24/2024,72,77,77,76,85,4
7/25/2024,69,76,74,78,80,5
7/26/2024,54,67,68,69,73,6
7/27/2024,21,20,36,47,38,7
7/28/2024,14,16,37,43,35,1
7/29/2024,62,76,69,70,87,2
7/30/2024,72,87,73,79,79,3
7/31/2024,65,86,72,74,81,4
8/1/2024,65,74,69,73,84,5
8/2/2024,57,70,66,66,72,6
8/3/2024,19,22,32,47,37,7
8/4/2024,16,16,37,47,33,1
8/5/2024,63,76,69,74,83,2
8/6/2024,69,77,68,77,86,3
8/7/2024,74,80,74,87,86,4
8/8/2024,64,81,72,76,77,5
8/9/2024,53,71,70,70,72,6
8/10/2024,19,21,37,49,37,7
8/11/2024,15,15,36,46,33,1
8/12/2024,64,77,72,69,86,2
8/13/2024,74,81,86,76,88,3
8/14/2024,65,82,79,73,89,4
8/15/2024,67,80,78,74,87,5
8/16/2024,54,73,65,67,77,6
8/17/2024,20,23,35,47,39,7
8/18/2024,14,19,30,47,39,1
8/19/2024,66,81,71,73,90,2
8/20/2024,79,87,76,79,90,3
